Name,Specification,County,Address,City,State,Zip,Information,Recovery Informed Institutional Services,Recovery Community Centers,Collegiate Recovery Programs,Recovery/ Drug Courts,Mutual-Aid Organizations,Recovery Community Organizations,Prevention Organizations,Peer Recovery Services,Harm Reduction Organizations,Re-Entry Services Organizations,Recovery Residences,Treatment Services,Advocacy Organizations,Recovery High Schools,Website,Phone,Email
East Tennessee State University,Behavorial Health and Wellness Clinic,Washington,166 DeRosier Dr,Johnson City,TN,37614,The ETSU Behavioral Health and Wellness Clinic (BHWC) is part of the Department of Psychology’s Doctoral program in Clinical Psychology. Our staff are graduate student clinicians. All student clinicians are closely supervised by licensed psychologists.  ,,,,,,,,,,,,1,,,https://www.etsu.edu/cas/psychology/bhwc/,423-439-7777,BHWC@etsu.edu
East Tennessee State University,Collegiate Recovery Academy ,Washington,1276 Gilbreath Dr,Johnson City,TN,37614,"The Recovery Ally Training is designed to equip participants with the appropriate knowledge needed to better address problems with substance misuse that may exist on campus.  Our primary purpose is to raise awareness, increase understanding, and build confidence in those eager to help people who may be struggling on campus",,,,,,,,,,,,,,,https://www.tn.gov/behavioral-health/substance-abuse-services/treatment---recovery/treatment---recovery/collegiate-recovery-initiative.html,615-712-4343,"Nathan Payne, npayne@tamho.org"
East Tennessee State University,Family Medicine,Washington,917 W Walnut St,Johnson City,TN,37604,"ETSU Health providers are specially trained to work with people who struggle with substance abuse. Treatments: Medication Assisted Treatment for Substance Use Disorder, Primary Care, Behavioral Health, Resources Referral/Case Management, and Medication Management.

The ETSU Family Medicine Addiction Medicine Fellowship prepares physicians to become leaders in the care of persons with substance use and behavioral disorders in the rural communities of Appalachia. ",,,,,,,,,,,,1,,,https://www.etsu.edu/com/familymed/addiction-medicine/,423-439-6464,"Joyce Troxler, troxlerj@etsu.edu"
Empower Cocke County - Intense Outpatient Program,,Cocke,370 East Broadway,Newport,TN,37821,"Clients, volunteers, concerned community members, and people struggling with addiction are all welcome to join our classes.  We are current fulfilling court sanctioned classes called our ""Intense Outpatient Program.""  For individuals who are not able to break the cycle of dependence, we arrange inpatient rehab with sister programs in our region.  We are working toward Inpatient Rehabilitation as well.  This Workforce Development Program will give clients a variety of choices as they look to God for complete healing and restoration.",,,,,,,,,,,,1,,,http://www.empowercockecounty.com/addiction.html,423-532-1308,info@empowercockecounty.com
Families Free,,Carter,122C Armed Forces Drive,Elizabethton,TN,37643,"Families Free is a faith-oriented, community based organization operating in the Northeast Tennessee region. Families Free is a licensed treatment and mental health provider through the Tennessee Department of Mental Health and Substance Abuse Services.",1,,,,,1,,,,1,1,1,,,https://www.familiesfree.com/,(423) 518-1257,lisa@familiesfree.com
Families Free,,Johnson,108 Court St,Mountain City,TN,37683,"Families Free is a faith-oriented, community based organization operating in the Northeast Tennessee region. Families Free is a licensed treatment and mental health provider through the Tennessee Department of Mental Health and Substance Abuse Services.",1,,,,,1,,,,1,1,1,,,https://www.familiesfree.com/,,lisa@familiesfree.com
Families Free,,Sullivan,441 Clay St,Kingsport,TN,37660,"Families Free is a faith-oriented, community based organization operating in the Northeast Tennessee region. Families Free is a licensed treatment and mental health provider through the Tennessee Department of Mental Health and Substance Abuse Services.",1,,,,,1,,,,1,1,1,,,https://www.familiesfree.com/,(423) 247-4536,lisa@familiesfree.com
Families Free,,Washington,693 Princeton Rd,Johnson City,TN,37601,"Families Free is a faith-oriented, community based organization operating in the Northeast Tennessee region. Families Free is a licensed treatment and mental health provider through the Tennessee Department of Mental Health and Substance Abuse Services.",1,,,,,1,,,,1,1,1,,,https://www.familiesfree.com/,(423) 631-0141,lisa@familiesfree.com
Families Free Storie House,,Washington,693 Princeton Rd,Johnson City,TN,37601,"The Storie House serves to create an environment where love can restore. Our vision for the home is that it will provide every woman the opportunity to achieve the fresh start she desires.

The Storie House is a private residence that can support and nurture five women from our program and up to four children, as well as provide a safe, sober place to live and integrate new life skills. This new addition will be overseen by Judy Clark, our Director of Women’s Services.",,,,,,,,,,,1,,,,https://www.familiesfree.com/the-storie-house/,(423) 631-0141,judy@familiesfree.com
First Judicial District Felony Recovery Court,,Carter,136 Sycamore St.,Elizabethton,TN,37643,"Families Free holds the contract for the First Judicial District Felony Recovery Court, which serves both males and females who are at high risk for recidivism and have a high need. Individuals are clinically assessed for recidivism potential, substances use disorder, mental health disorder, environmental concerns, and familial relationships for acceptance into the program.
First District includes Carter, Johnson, Unicoi, and Washington Counties.
Judges Lisa Rice and Stacy Street",,,,1,,,,,,,,,,,https://www.tn.gov/content/tn/behavioral-health/research/fast-facts/recovery-court-locations.html,"Rachel Roden, 423-262-3834",rachelroden@familiesfree.com
Forward Flag Tennessee,,Hawkins,"3815 Highway 66, Suite # 4",Rogersville,TN,378857,"Every day 20 veterans commit suicide due to a myriad of reasons ie PTSD, depression, alcohol and or drug abuse, plus others. We at Forward Flag both in our Albuquerque New Mexico and Rogersville, Tennessee locations our committed to bringing that number down to zero! We strive to raise awareness of these high rates and work with family and friends of the veteran to offer alternatives for them. At our New mexico office we have the bluebird, which is a modified bus camper that we use at public events, In Tennessee we have the coffee bunker a converted camper. At both of our locations we have master trainers for the QPR (question, persuade and refer) Institute for suicide prevention. We offer the veteran as well as his/her family activities to engage them in social activities ie archery, leather crafts, game nights, weight training, fishing, and more and we never ever charge a single dime to any veteran nor family member!! We are soon adding equine therapy, kayaking and more at both locations. For those of us at forward flag that served in the military our vow was to never leave a man behind and here at forward flag we make the same promise we will never leave a man behind!",,,,,,,,1,,,,,,,https://rogersvilletnchamber.com/directory-chamber_memb/listing/forward-flag-veteran-non-profit/,423-523-2700,Roger@forwardflag.org
Free Will Baptist Adolescent Alcohol and Drug Treatment Program,,Greene,90 Stanley Lane,Greeneville,TN,37743,"Our adolescent alcohol and drug treatment program is an intensive 60-day module to help those dealing with addictions and addresses the treatment needs of young people exhibiting behaviors relating to the moderate abuse and misuse of alcohol and drugs.  The program works with them through a wide range of techniques and with their families, as well, in dealing with their substance abuse. We are thankful the program has a very high success rate because we realize only God can change a heart. We are a Matrix certified site for the treatment of Alcohol and Drugs, meeting the fidelity measurements set forth by the Matrix Institute (providing services for maximum effectiveness).",,,,,,,,,,,,1,,,https://www.fwbfm.com/services/residential-care,(423) 639-9449,info@fwbfm.com
Frontier Health,Individual Placement and Support (IPS),Washington,1167 Spratlin Park Dr,Gray,TN,37615,"Frontier Health’s Supported Employment program utilizes Individual Placement and Support (IPS) to help individuals find jobs to promote recovery in our community. IPS is a model of supported employment for people with serious mental illness (e.g., schizophrenia spectrum disorder, bipolar, depression). IPS supported employment helps people living with behavioral health conditions work at regular jobs of their choosing. Although variations of supported employment exist, IPS refers to the evidence-based practice of supported employment. ",1,,,,,,,,,,,,,,https://www.frontierhealth.org/vocational-recovery-services/individual-placement-and-support/,423-467-3600,fhinfo@frontierhealth.org
Frontier Health,Johnson County Mental Health Clinic,Johnson,318 Donnelly St,Mountain City,TN,37683,"Outpatient mental health, substance abuse, and co-occurring programs for children, adolescents, and adults. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-johnson-county-mental-health-clinic/,423-727-2100,fhinfo@frontierhealth.org
Frontier Health,Bristol Regional Counseling Center,Sullivan,26 Midway St,Bristol,TN,37620,"Outpatient mental health, substance abuse, and co-occurring programs for adults, children, adolescents and families. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-bristol-regional-counseling-center/,423-989-4500,fhinfo@frontierhealth.org
Frontier Health,Holston Counseling Center,Sullivan,1570 Waverly Rd,Kingsport,TN,37664,"Outpatient mental health, substance abuse, and co-occurring programs for children, adolescents, and adults. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-holston-counseling-center/,423-224-1300,fhinfo@frontierhealth.org
Frontier Health,Erwin Behavorial Health Services,Unicoi,218 N Main St,Erwin,TN,37650,"Outpatient mental health, substance abuse, and co-occurring programs for children, adolescents, and adults. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources:",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-erwin-behavioral-health-services/,423-743-1470,fhinfo@frontierhealth.org
Frontier Health,Adventure Program Adolescent IOP,Washington,1003 Broadway St.,Johnson City,TN,37601,"Intensive Outpatient Treatment program for adolescents 13 to 18 years old with substance abuse, mental health and co-occurring problems, helping youths discover better alternatives to facing and coping with stress, while building problem-solving skills. Referrals are made by juvenile courts, schools, family, or client. Services include individual, group and family therapy; therapeutic recreation, leisure and social skills training, educational service, GED training, aftercare and random drug screens.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-adventure-program/,423-232-4326,fhinfo@frontierhealth.org
Frontier Health,HOPE for Tennessee,Washington,208 E. Unaka Ave.,Johnson City,TN,37601,"HOPE for Tennessee (Health Outreach Prevention & Empowerment). HIV Case Management Services for PLWHA (Persons Living With HIV/AIDS) residing in Northeast Tennessee including the counties of Carter, Greene, Hancock, Hawkins, Johnson, Sullivan, Unicoi and Washington. HOPE for Tennessee is funded by the Tennessee Department of Health’s Ryan White Part B and HOPWA (Housing Opportunities for Persons With AIDS) programs to provide the following HIV related services: Case Management; Nutritional Assistance; Transportation Assistance to Core Medical Appointments; Housing Assistance and Information; Utility Assistance; Emergency Financial Assistance; and Community referrals/resources.",,,,,,,,,,,1,,,,https://www.frontierhealth.org/directory/frontier-health-hope-for-tennessee-2/,423-926-0940,fhinfo@frontierhealth.org
Frontier Health,Housing,Washington,1167 Spratlin Park Dr,Gray,TN,37615,"Frontier Health provides housing options for adults who are seriously mentally ill or who have intellectual and developmental disabilities in supported living homes, group homes, supervised apartments, and independent living. Support is available 24 hours a day, 7 days a week, based on need. In Tennessee, short-term housing is also available for children and youth in crisis, runaways, who are court-ordered, or at risk of out-of-home placement.",,,,,,,,,,,1,,,,https://www.frontierhealth.org/other-services/#,423-467-3600,fhinfo@frontierhealth.org
Frontier Health,Magnolia Ridge Treatment Center,Washington,208 E. Unaka Ave.,Johnson City,TN,37604,28-day inpatient rehabilitation program for men. 30 bed capacity located within Turning Point. ,,,,,,,,,,,,1,,,,423-926-0940,fhinfo@frontierhealth.org
Frontier Health,Turning Point Walk-In Center,Washington,208 E. Unaka Ave.,Johnson City,TN,37601,"• Intensive Outpatient Recovery Oriented Services for substance Use Disorder
• Individual, Family and Group Therapy
• Medical Evaluation Referral
• Relapse Education
• Follow-up Services",,,,,,,,1,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-turning-point/,423-926-0940,fhinfo@frontierhealth.org
Frontier Health,Victory Center,Washington,2243 Eddie Williams Rd,Johnson City,TN,37601,"Victory Center is a psychosocial rehabilitation program that operates as a Recovery Center. Victory Center helps individuals to address symptoms and struggles related to mental illness and/or addiction and to reach goals associated with symptom reduction, supports, employment and community living. Victory Center works with outpatient services, case management, supported housing, peer support centers, employment services, and psychiatric hospitals to help individuals make the most of the recovery process.",,,,,,,,1,,,,,,,https://www.frontierhealth.org/directory/frontier-health-victory-center-greeneville/,423-638-4540,fhinfo@frontierhealth.org
Frontier Health,Watauga Behavorial Health Services,Washington,109 W Watauga Ave,Johnson City,TN,37604,"Outpatient mental health, substance abuse, and co-occurring programs for adults, children, adolescents, and families. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-watauga-behavioral-health-services/,423-232-2600,fhinfo@frontierhealth.org
Frontier Health,Willow Ridge Treatment Center,Washington,900 Buffalo St.,Johnson City,TN,37604,"19 residential treatment beds serve females over the age of 18 with addiction and or co- occurring mental health needs. While most referrals are step down from the Turning Point detox unit, referrals are accepted from all sources. Willow Ridge offers a gender specific, multi disciplinary approach, using evidenced based practices to move individuals toward recovery.",,,,,,,,1,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-willow-ridge/,423-461-7750,fhinfo@frontierhealth.org
Frontier Health ,Nolachuckey-Holston Area Mental Health Center,Greene,401 Holston Dr,Greeneville,TN,37743,"Outpatient mental health, substance abuse, and co-occurring programs for children, adolescents, and adults. Case management services (home/community-based services) are also available. Case management supports treatment goals and provides linkage to community resources.",,,,,,,,,,,,1,,,https://www.frontierhealth.org/directory/frontier-health-nolachuckey-holston-area-mental-health-center/,423-639-1104,fhinfo@frontierhealth.org
Frontier Health ,Student Assistance Program,Washington,1167 Spratlin Park Dr,Gray,TN,37615,"SAP, the Student Assistance Program, staff work closely with teachers, guidance counselors, and school administrators to identify students who are at risk. Referrals can be made by faculty, staff, friends, families, peers, and students themselves. The counselor addresses behavioral health issues, ADHD, alcohol and drug abuse, child abuse, divorce issues, depression, anger issues, domestic violence, and crisis intervention.",,,,,,,,,,1,,,,,https://www.frontierhealth.org/other-services/,423-467-3600,fhinfo@frontierhealth.org
Greene County Anti-Drug Coalition (GCADC),,Greene," 115 Academy St,",Greeneville,TN,37743,"Mission: Learning how to foster long-term change through awareness, prevention,
and treatment, to create a drug free community.",,,,,,,1,,,,,,,,https://www.gcadc.org/pages/missionn,423-552-1899,GCADC2022@gmail.com
Greene County Health Department,,Greene,810 W Church St,Greeneville,TN,37745,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-798-1749,
Greene County Recovery Court,,Greene,217 South College St,Greeneville,TN,37743,"Recovery Courts are special courts willing to handle cases involving substance-abusing offenders through comprehensive supervision, drug testing, treatment services and immediate sanctions and incentives. The expectations of those willing to participate are intensive, as the road to recovery is not easy. Individuals who complete all the parameters of the Recovery Court graduate with their sobriety and a new lease on life.

Judge Kenneth N. Bailey, Jr.",,,,1,,,,,,,,,,,https://www.tn.gov/content/tn/behavioral-health/research/fast-facts/recovery-court-locations.html,"Samantha Venerable, 423-823-8593",s.venerable@greenecountytngov.com
Hamblen County Recovery Court,,Hamblen,511 W 2nd N St,Morristown,TN,37814,"Recovery Courts are special courts willing to handle cases involving substance-abusing offenders through comprehensive supervision, drug testing, treatment services and immediate sanctions and incentives. The expectations of those willing to participate are intensive, as the road to recovery is not easy. Individuals who complete all the parameters of the Recovery Court graduate with their sobriety and a new lease on life.

Judge Janice Snider.",,,,1,,,,,,,,,,,https://www.tn.gov/content/tn/behavioral-health/research/fast-facts/recovery-court-locations.html,"Barbara Horton, 423-585-2025",bhorton@co.hamblen.tn.us
Hancock County Health Department,,Hancock,178 Willow St,Sneedville,TN,37869,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-733-2228,
Haven of Rest Rescue Mission - The Grace Home,,Sullivan,319 7th St,Bristol,TN,37620,"The Grace Home is a 16 bed home providing a place of warmth, a plate of food, a plan for Hope, and a provision of clothing (if needed). The shelter is an atmosphere of encouragement and respect. The residents complete tasks each morning and evening.  They have a devotional in the morning and a chapel service in the evening.",,,,,,,,,,,1,,,,https://www.havenofrestbristol.org/the-grace-home.html,423-968-2011,
Hawkins (Rogerville) County Health Department,,Hawkins,201 Park Blvd,Rogersville,TN,37857,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-272-7641,
Hawkins County Anti-Drug Coalition (HCADC),,Hawkins,Hidden Valley Rd,Rogersville,TN,37857,Our purpose is to work with all segments of our community to provide resources for those dealing with addiction.,,,,,,,1,,,,,,,,https://www.facebook.com/hcadc2015/,,hcadc2019@gmail.com
Hawkins County Recovery Court,,Hawkins,115 Justice Center Dr Ste 1237,Rogersville,TN,,"The mission of the Hamilton County Drug Recovery Court is to reduce recidivism through breaking the cycle of addiction and by enhancing the offenders’ likelihood of success in our community. The goal of the Hamilton County Drug Recovery Court is to promote public safety and individual responsibility, to reduce crime, and to improve the quality of life for its participants and their families.

Judge Todd Ross.",,,,1,,,,,,,,,,,https://www.tn.gov/content/tn/behavioral-health/research/fast-facts/recovery-court-locations.html,"Amy Cinnamon, 423-272-3301",amy@hawkinscountyrecovery.com
"Hawkins County Sessions Court ""Justice for Vets"" Veteran's Mentor Program",,Hawkins,117 Justice Center Dr,Rogersville,TN,37857,"Instituted nationally by National Association of Drug Court Professionals. Administered by Hawkins County Sessions Judge, Judge J. Todd Ross, and ran by Ron Light.

Justice For Vets is dedicated to transforming the way the justice system identifies, assesses and treats our veterans, leading the national effort to put a veterans treatment court in reach of every veteran in need. We are committed to ensuring that no veteran is left behind by providing training and technical assistance to help communities bring together local, state, and federal resources to directly serve veterans involved in the justice system due to mental health disorders, trauma, and substance use. In doing so, we keep veterans out of jail and prison—preventing the loss of one of our nation’s greatest assets to our families and communities—and connect them with the benefits and treatment they have earned, all while saving tax dollars for the American public.",,,,1,,,,1,,,,,,,https://justiceforvets.org/,"Ron Light: 
(423) 218-9196",
Healthy Transitions,,Greene,616 E Church St Ste A,Greeneville,TN,37745,"HT-ILT is a program designed to help youth and young adults aged 16-25 living in Greene Co. that are experiencing serious emotional disturbances, serious mental illnesses, co-occurring disorders, and/or intellectual disabilities.
We offer a variety of services provided by certified, licensed and experienced staff along with the Healthy Transitions Program that include: Linkage to Medication Management; Employment/Education Support to help obtain a G.E.D, H.S. Diploma, College applications, job applications, resume support, etc. (application fees are covered by HT); Peer Support; Case Management; Therapy sessions",,,,,,1,,1,,,,1,,,https://tnhealthytransitions.org/about/,(423) 416-0176,
Helen Ross McNabb Center,,Cocke,990 West Highway 25/70,Newport,TN,37821,"The Cocke County Center provides outpatient mental health services to children, adults and families in Cocke County and the surrounding communities.",,,,,,,,,,,,1,,,https://mcnabbcenter.org/,423-613-5777,
High Point Clinic,,Washington,205 High Point Dr,Johnson City,TN,37601,"Founded in 2012, and taking our first patient Jan 1, 2013, High Point Clinic is the only independent non-profit in Tennessee that provides treatment for addiction. We strive to support, guide, educate, and encourage our patients through the course of addiction to recovery. Given our smaller patient base, highly educated staff, and mission to help those in need, we feel we are able to provide the best evidence-based addiction treatment available.
Evidence overwhelmingly suggests MAT (Medication Assisted Treatment) as a necessary model for maintenance treatment for those suffering from the disease of opiate addiction. We are happy to work with this model of treatment. And, if desired, will taper individuals down to the lowest possible dose until fully tapered off of medication. We will NEVER force taper our patients!",,,,,,,,,,,,1,,,https://www.highpointclinic.org/,423-631-0731,
Holston United Methodist Home for Children: Recovering Hearts,,Greene,404 Holston Drive,Greeneville,TN,37743,"Recovering Hearts is a highly structured 9-to-13-month program to help women struggling with addiction and to reunite healthy mothers with their children. Essentially, Recovering Hearts is a 12-step program with a Christ-centered focus.
Recovering Hearts serves up to 18 ladies with the capacity to serve their children as well and provides safe and healthy housing, drug prevention/intervention classes, meals, life skills classes and work opportunities. It is an intense and structured program that is staffed 24-7 with professionals to help ladies break addiction through daily Bible study and prayer, classes, and counseling to learn how to confront destructive choices and unhealthy behaviors. It gives them a safe place to establish new “normals.”",,,,,,,,,,,1,,,,https://www.holstonhome.org/recovering-hearts/,"Trevor: 423-500-4046

Main: 423-638-4171",
Hope Center Honeysuckle Studios,,Greene,314 Tusculum Blvd,Greeneville,TN,37745,Apartment living,,,,,,,,,,,1,,,,,,
Insight Alliance,,Washington,207 E Main St #1e,Johnson City,TN,37604,"Insight Alliance of Washington County, TN works within the community to educate on and prevent substance use disorders. Their recovery efforts focus on developing and understanding recovery groups and relapse prevention along with stigma reduction of addiction through direct meetings, connection to treatment, peer support, and presentations to professional and civic groups. Learn more about our recovery efforts below. ",,,,,,,1,1,1,1,,,,,https://www.wcadc.com/,877-366-7593,jen@insightalliance.org
Johnson City Day Reporting Center/Community Resource Center,,Washington,204 Freckles Court,Johnson City,TN,37601,"As part of the Public Safety Act of 2016, the Tennessee Department of Correction (TDOC) implemented Day Reporting/Community Resource Centers which serve as alternatives to incarceration by placing eligible participants in structured and intensive outpatient programs.  The programs provide resources and services to offenders to assist them as they work towards becoming productive citizens in their communities.",,,,,,,,,,1,,,,,,423-434-3033,Ashton.B.Belcher@tn.gov
Johnson City Recovery Community Center,,Washington,513 E. Unaka Ave,Johnson City,TN,37601,"Built on the best and most current recovery science from Harvard’s Recovery Research Institute, Johnson City Recovery Center (JCRC) is a peer-led and operated recovery community center. Although we do not provide professional treatment services or recovery housing, we do provide linkages to these valuable resources as well as help to build individual, family, and community recovery capital by providing advocacy training, recovery information, mutual aid support, recovery and health information, technology and internet assistance, resource mobilization, employment assistance, recovery coaching, volunteerism, yoga for recovery, social activities, etc. JCRC is a ‘recovery hub offering a safe, supportive, and non-judgmental environment for those seeking recovery where all paths to recovery are welcomed, affirmed, and celebrated. ",,1,,,1,,,1,1,,,,,,https://jcrecoverycenter.org/,423-262-8903,"Dottie Greene, dg.jcrecoverycenter@gmail.com"
Johnson County Health Department,,Johnson,715 W Main St,Mountain City,TN,37683,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-727-9731,
Joyful Life Private Recovery Services,,Hamblen,400 W 1st N St,Morristown,TN,37814,"A private consulting practice offering: Prescriptive Counseling and Education; Assessment, Treatment, and Referral; and Family and Parenting Education and Therapy.",,,,,,,,,,,,1,,,,(828)-335-2310,
Lifeline Program,,Washington,207 E Main St #1e,Johnson City,TN,37604,The Lifeline Peer Project is established to reduce stigma related to the disease of addiction and increase access to substance abuse recovery like Alcoholics Anonymous and Narcotics Anonymous meetings.,,,,,,,,1,,,,,,,https://www.tn.gov/content/dam/tn/mentalhealth/documents/Lifeline_FBI_Contact_Maps_092022.pdf ,"877-366-7593
Jeremiah Lovelady: ext. 105",
McNabb Center Mobile Clinic,,Cocke,990 West Highway 25/70,Newport,TN,37821,"The McNabb Center’s Mobile Health Clinic helps to break down barriers of accessing traditional health care. This program, which is part of Project Rural Recovery and funded by the Tennessee Department of Mental Health & Substance Abuse Services, screens for mental health, substance use and chronic health conditions and provides mental health and substance use treatment. The program also provides preventative health screenings, including TB, HIV and Hepatitis. The Mobile Health Clinic serves Cocke, Grainger, Hancock, Jefferson and Claiborne counties.",,,,,,,,,,,,1,,,https://mcnabbcenter.org/,800-255-9711,
Medical Care Clinic - Bristol Healthcare,,Sullivan,246 Midway Medical Park,Bristol,TN,37620,"We are a private medical office dedicated to treating patients suffering from addiction to opioid drugs in Bristol, TN utilizing the latest addiction recovery methods, including Suboxone treatments. Our mission is to employ sound medical knowledge and recognized standards of care to aid our patient's quest to be as free from drug addiction as possible.  We seek to avoid diversion of prescription medication to illegal use by creating and encouraging an environment in which physicians, staff and patients understand the harm caused by illegal drug use and are committed to its prevention. In providing our services, we will show respect for the privacy and personage of every patient and will receive respect in return. We will foster a sense of responsibility and self-respect in our patients by encouraging each to be faithful to the goal of overcoming drug addiction and by the patient taking personal responsibility for the cost of our services. We will do all of this with courtesy, fidelity to our mission and in compliance with applicable federal, state and local laws, rules and regulations.",,,,,,,,,,,,1,,,https://medicalcareclinic.org/bristol-tn-addiction-recovery/,423-573-2285,bristolhealthcare1@gmail.com
Medical Care Clinic - Elizabethton Healthcare,,Carter,401 Hudson Dr,Elizabethton,TN,37643,"We are a privately owned medical office dedicated to treating patients suffering from addiction to opioids in Elizabethton, TN utilizing the latest treatments, including our Suboxone treatment. Our mission is to implement sound medical knowledge and recognized standards of care to aid our patient's quest to be as free from drug addiction as possible.  We seek to avoid dispersion of prescription medication for illegal use by creating and encouraging an environment in which physicians, staff and patients understand the harm caused by illegal drug use and are committed to its prevention. In providing our services, we will show respect for the privacy and personage of every patient and will receive respect in return. We will foster a sense of personal responsibility and self-respect in our patients. Encouraging each to be faithful to the goal of overcoming drug addiction and by the patient taking personal responsibility for the cost of our services. We will do all of this with courtesy, fidelity to our mission and in compliance with applicable federal, state and local laws, rules and regulations.",,,,,,,,,,,,1,,,https://medicalcareclinic.org/elizabethton-tn-drug-addiction-recovery/?utm_source=GMB&utm_medium=organic,423-543-2721,elizabethtonhealthcare@outlook.com
Medical Care Clinic - H&R Counseling Clinic,,Greene,516 Justis Dr,Greeneville,TN,37745,"We are a private medical office dedicated to treating patients suffering from addiction to opioid drugs in Greeneville, TN we are utilizing the latest treatments, including Suboxone. Our goal is to employ most up to date medical knowledge and recognized standards of care to aid our patient's quest to be as free from drug addiction as possible.  We seek to avoid diversion of prescription medication for illegal use by creating and encouraging an environment in which physicians, staff and patients understand the harm caused by illegal drug use and are committed to its prevention. In providing our services, we will show respect for the privacy and personage of every patient and hope to receive respect in return. We will foster a sense of responsibility and self-respect in our patients by encouraging each to be faithful to the goal of overcoming drug addiction and by the patient taking personal responsibility for the cost of our services. We will do all of this with courtesy, fidelity to our mission and in compliance with applicable federal, state and local laws, rules and regulations. If you or a loved one is in need of help please visit our office or call us.",,,,,,,,,,,,1,,,https://medicalcareclinic.org/greeneville-tn-addiction-recovery/,423-636-1400,medicalcareclinic1@gmail.com
Medical Care Clinic - Lighthouse Counseling Services,,Hawkins,7142 Lee Hwy,Rogersville,TN,37857,"Lighthouse Counseling Service is a private medical office dedicated to treating patients suffering from addiction to opioid drugs in Rogersville and Morristown, TN utilizing the latest treatments, including Suboxone. Our mission is to employ sound medical knowledge and recognized standards of care to aid our patient's quest to be as free from drug addiction as possible.  We seek to avoid diversion of prescription medication to illegal use by creating and encouraging an environment in which physicians, staff and patients understand the harm caused by illegal drug use and are committed to its prevention. In providing our services, we will show respect for the privacy and personage of every patient and will receive respect in return. We will foster a sense of responsibility and self-respect in our patients by encouraging each to be faithful to the goal of overcoming drug addiction and by the patient taking personal responsibility for the cost of our services. Lighthouse Counseling Service will do all of this with courtesy, fidelity to our mission and in compliance with applicable federal, state and local laws, rules and regulations.",,,,,,,,,,,,1,,,https://medicalcareclinic.org/rogersville-tn-addiction-recovery/,423-293-3140,medicalcareclinic1@gmail.com
Medical Care Clinic of Johnson City,,Washington,401 E Main St,Johnson City,TN,37601,"We are a private medical office dedicated in treating patients who are suffering from addiction to opioid drugs. Our methadone clinic in Johnson City TN utilizes the latest treatments, including Suboxone. Our mission is to employ sound medical knowledge and recognized standards of care to aid our patient's quest to be as free from drug addiction as possible. We pursue to avoid diversion of prescription medication to illegal use by creating and inspiring an environment in which physicians, staff and patients understand the effects caused by illegal drug use and are committed to its prevention. In providing our services, we will show the utmost respect for the privacy and personage of every patient and hope to receive respect in return. We will foster a sense of responsibility and self-respect in our patients by encouraging each to be faithful to the goal of overcoming drug addiction and by the patient taking personal responsibility for the cost of our services. Our Johnson City medical care walk in clinic will do all of this with courtesy, fidelity to our mission and in compliance with applicable federal, state and local laws, rules and regulations.",,,,,,,,,,,,1,,,https://medicalcareclinic.org/johnson-city-tn-addiction-recovery/,423-722-4004,medicalcareclinic1@gmail.com
